SUBJECT: who and where to get cetirizine - D. MESSAGE: I need/want to know who manufscturs Cetirizine. My Walmart is looking for a new supply and are not getting the recent	Who manufactures cetirizine?
who makes bromocriptine. i am wondering what company makes the drug bromocriptine, i need it for a mass i have on my pituitary gland and the cost just keeps raising. i cannot ever buy a full prescription because of the price and i was told if i get a hold of the maker of the drug sometimes they offer coupons or something to help me afford the medicine. if i buy 10 pills in which i have to take 2 times a day it costs me 78.00. and that is how i have to buy them.  thanks.	Who manufactures bromocriptine?
SUBJECT: nulytely. MESSAGE: Hello can you tell me where do i order the nulytely who is the manufacture, what phone number can i call. thanks.	Who makes nulytely, and where can I buy it?
Williams' syndrome. I would like to have my daughter tested for William's syndrome. Could you please tell me where I would go or who does it in my area?  Thank you!!	Where can I get genetic testing for william's syndrome?
ClinicalTrials.gov - Question - general information. Both my parents died in [LOCATION] TX with multiple myeloma, father in 70's and mother 84 years old.   the attending oncologist advised that I should be tested every few years. I was unaware of a genetic test for MM I am 63 yr old female, in good health, and where could I get the genetic test for MM and approx cost for testing?	Where can I get genetic testing for multiple myeloma, and what is the cost?
Genetic Test for IHHS heart condition. Is there a commercial genetic test for the IHHS heart condition?  My family suffers from this heridity condition and I would like to know who is susseptable.   If so, where could I get it done in [LOCATION] Texas?	Where can I get genetic testing for IHSS in Texas?
SUBJECT: Friedreich's ataxia. MESSAGE: I have been told I have Friedreich's ataxia.  I am looking for a treatment to reverse it.. I has to do with the chromosome number 9 defective in both of my parents and possible. damage to chromosome number 10.  Would you be able to tell me if number 9 is defective in me.	Where can I get genetic testing for friedreich's, and what are the treatments for it?
SUBJECT: CPTII Deficiency. MESSAGE: My sister in Texas was just diagnosed with CPTII deficiency today.  We do not yet know which variant.  I was told a year ago following her near death from rhabdo (CK's 150,000+), ATN, RF, respiratory compromise, to be tested for a FA metabolic error.  Until today, I really had no idea which test to request.  Her muscle bx was performed a few months ago as she was still ill last year.  Another recurrence of rhado this year prompted the bx (she is retired military).  I don't know which branch of medicine to contact for genetic testing. From  the NIH website, muscle bx is the most definitive.  I also found a phone number for the Genetics and Rare Diseases Information Center.  Thank you for some direction.	Where can I get genetic testing for CPTII deficiency?
SUBJECT: trying to loss 50 before July.. MESSAGE: I am trying to loss 50 pounds before July, the problem is I work 16 hours a day. Don't have time to do anything else. Is there a deit pills or shake that I can use to help me? Also my problem area is stomach, waist, butt and hip. Please help.	Where can I find information on weight loss pills?
ClinicalTrials.gov - Question - specific study. my son is 17 years old he has omental panniculitis (weber cristian disease) can your institute help me to suggest what is this disear and how it care   if you need i can send the full detail	Where can I find information on weber christian disease, including treatment for it?
vagual nerve stimulation and depression..  have suffered for many years complicated by frequent migraines and little help from meds   like to learn more about vagual nerve stimulation	Where can I find information on vagus nerve stimulation for the treatment of depression and migraines?
stomach pain..  My son of 13y is facing upper abdominal pain siverly in the mornig time and slightly after eating lunch and in the night time after dinner.kindly i went five doctors and ultra scan also but problem not resolved.pls advaice me what to do.	Where can I find information on upper abdominal pain, including diagnosis and treatment?
SUBJECT: pregnancy. MESSAGE: I just want to ask if have some ways or have a operation to be pregnant a woman like me had a tubal ligation before  7yrs. Ago..	Where can I find information on tubal ligation reversal?
SUBJECT: Thyroid Cancer. MESSAGE: thyroid cancer . please send all data regarding surgery, issues after the surgery possible outcomes to the surgery.	Where can I find information on surgery for thyroid cancer, including recovery and prognosis?
MESSAGE: Will storing my medication in the freezer reduce their efficacy? I have many and more related questions about storing pills at various temperatures that I would like to ask about, but let's start with that question. The drugs that I am concerned about are digoxin and lisinopril. As far as I know, the dosage is the lowest possible prescribed dosage for each medication (if that matters). I hope my question will not be thought of as a specific, or individually based question and you are able to answer in the most broad and objective way. Thank you very much in advance.	Will storing digoxin and lisinopril in the freezer reduce their efficacy? 
Hello, Im sorry about my mom, she has black her mounth, neck and arms, her skin is changed in color black, she has diabetes, she inyects insuline. Can you reccomend me something please? .  . Sent from my MetroPCS 4G Android device.  	What treatments are available for diabetic skin darkening?
Hello, my name is [NAME] and i am a student at [LOCATION] here in [LOCATION]. I am composing a research report on SIDS and i was hoping you could help me with some information. I was particularly interested in learning weather parents should be worried about cribs death and if you could direct me to some resources on that, or even allow me to interview you. Thank you for your time. If you have anything else that might help me, i would really appreciate it. You can email me at [CONTACT] or contact me by my phone at [CONTACT]. Thanks again.	Where can I find information on SIDS?
SUBJECT: Help for my diagnose. MESSAGE: I have been diagnosed with SCA3. I was wondering if MedlinePlus is able to help me with resources that I may need on my journey through this disease? If not, can you help me find an organization or association that can help me.	Where can I find information on SCA3, and how can I find physician(s) or hospital(s) who specialize in it?
SUBJECT: Subject. MESSAGE: I'm calling because I would like to know more advice on crating Risperdoine medicine and gain experiences on the medication. And creating the medication	Where can I find information on risperidone, including how it is manufactured?
SUBJECT: rectal prolapse. MESSAGE: my rectum is stretched out and I need information mailed to me about surgical options. My address is [LOCATION]	Where can I find information on rectal prolapse surgery?
Prenatal exams for leigh syndrome. I am looking for information about having prenatal exams anmnio or chorionic villus sampling for NARP and leigh syndrome. Thank you in advance	Where can I find information on prenatal genetic tests for NARP and leigh syndrome?
SUBJECT: ClinicalTrials.gov - Question - general information. MESSAGE: Hi, I have mixed diagnosis of autoimmune connective tissue disease and would like to submit information about this disease. I also need some serious rheumatologist recommended in. Argentina or Latin America. From already thank you very much	How can I find  rheumatologist(s) who specialize in mixed connective tissue disease in Latin America?
SUBJECT: Customer Service Request. MESSAGE: Hi,. We are 2 sisters and a brother. My brother at age of 24 is detected with catract, however it is mild so operation is not required. But doctor said, there are chances he has this from Birth. However only from past 1.5years he had a little blur vision.. And in my entire family Mom and Dad said no one has had catract from Birth. We are a big family, my grapa had 7 brothers and 2 sisters no one from their family or my mom has catract from birth or even at early age. My concern is, if i am pregnant will my children have any issue like this. I amd my sister, mom, dad we all have got our eyes checked. we dont have any issue. I am really tensed as i am expecting. Can you please help me with the answer.	Who is at risk of developing infantile cataracts?
MESSAGE: I have undergone Total Hip Replacement of both my hip jonts in 1977 (Charnley Process ) My left joint is completely worn out.How safe and effective is revision surgery..can I get a cementless joint..I am 66 years old..An early repy to my query will be very much appreciated.	Where can I find information on hip revision surgery, including risks and prognosis?
SUBJECT: Hair loss (men) on legs/feet as one ages. MESSAGE: I have observed hair loss on lower extremities on males. Is this poor blood circulation? Any advice?	Where can I find information on hair loss on the lower extremities in men, including causes and treatment?
MESSAGE: My son  five years old has Ganglisidose GM 1, we are looking for a drug that could help him, or at least could prolong life. He gets Miglusitat for 1 week. Can you help us or just send some information. We would be very grateful.	Where can I find information on GM1 gangliosidosis, including treatment and prognosis?
SUBJECT: Mental Health (Anxiety) interview. MESSAGE: I would like to interview someone by email in order to obtain information over Generalized Anxiety Disorder for a Newsletter project in my Abnormal Psychology Class at [LOCATION]. Thank you very much	Where can I find information on generalized anxiety disorder?
SUBJECT: Need information abouot Folgard OS. MESSAGE: Need information about Folgard OS. I am in U.S.A. but that wasn't listed as a choice of countries!	Where can I find information on folgard OS in USA?
SUBJECT: Normal physical traits but no period. MESSAGE: I'm a 40 yr. old woman that has infantile reproductive organs and have never experienced a mensus. I have had Doctors look but they all say I just have infantile female reproductive organs. When I try to look for answers on the internet I cannot find anything. ALL my "girly" parts are normal. My organs never matured. Could you give me more information please.	Where can I find information on developmental disorders of the female reproductive system?
SUBJECT: acute constipation. MESSAGE: Sir, 1. I wish to know if severe constipation/non clearence of bowels is also related to Diabetes in old age people. 2. Request if you may provide any medical paper associated to my query.	Does diabetes affect bowel movements? 
SUBJECT: Is Balsalazide a steroid?. MESSAGE: Is Balsalazide a steroid? I have been on it doe close to 2 years now, your information states 6-8 weeks.  Will this do any damage to my other organs?  Was on Asacol prier to Balsalazide 750mg each X9 per day.  Is this safe? I cannot seem to lose any weight no matter how much I try. I exercise 5-6 days a week for 30 minutes, watch what I eat.	Where can I find information on balsalazide, including dosage, side effects, and drug class?
SUBJECT: autonomic and arthritis .. MESSAGE: Hi there , i have a few questions about autonomic disorders combined with arthritis ? My girlfriend has arthritis and autonomic disorder. I am really worried about her and want to help her, is there any new medications out there for treatment of autonomic disorder ? Also her autonomic disorder effects her heart lungs and blood pressure , is this condition fatal ? How long does someone live with this condition ?	Where can I find information on autonomic disorder, including symptoms, treatment, and prognosis?
SUBJECT: Plate. MESSAGE: I have a steel plate in my ankle from a severely broken leg, its been a long time now and am weight bearing. They said they would take plate out in a year which is not far away, I am trying to find information about this, how long will I be in hospital for or can it be a day surgery, also will I need crutches etc I need to know the procedure as it terrifies me going back in there?	Where can I find information on ankle implant removal, including recovery and prognosis?
Re: 16p-13.11 duplication of genes. Dear all, I am a health professional and have recently assessed a 9 year old boy on my caseload whose mother reported that he has been diagnosed with 16p-13.11 duplication of genes.  I have never come across it and when I looked on the internet I could not find anything coherent.  I have been in contact with the paediatrician who used to be in charge of that child but she is unfortunately on long term sick.  Would you be able to give me some information on this condition with key features please? Are there behavioural, coordination, sensory difficulties, etc...that can be associated with it?	Where can I find information on 16p-13.11 duplication, including symptoms?
SUBJECT: gabapentin. MESSAGE: How long is Gabapentin good at room temperature?. Thank you,. [NAME]	For how long can Gabapentin be stored at room temperature?
SUBJECT: LIFESPAN OF UN-OPENED MEDICATION. MESSAGE: Hi I have an un-opened prescription of Atorvastatin. How long is the lifespan in an Un-Opened container that has been stored at room temp (roughly 60degrees)?   Thanks	For how long can Atorvastatin be stored at room temperature?
SUBJECT: The results of smoking. MESSAGE: What are some illnesses caused by smoking? Also, what are their effect on the human body?	What are the risks of smoking?
Hi,. Fırst of all thanks for valuable information whıch you Published on your web sıte.. http://www.cdc.gov/measles/about/complications.html. I couldnt find any ınformatıon on web that ıs related early ages... When my son 6 months old (when he was baby)  he had measles and he hadnt had vaccacine when he was ill.. I saw that if you had measles you have possıbılıty for SSPE that is 4 to 20 out of 100.000 case...But I want to know (it ıs very ımportant for me) if you had measles when your son stıll baby,what is the risk... Please help me to know the facts...Please Write me the worth case.. I want to know just truth... Thanks,. Best Regards. [NAME]	What percent of babies who contracted measles will eventually develop SSPE?
Interested in research regarding Arimidex and the pros and cons of taking it following lumpectomy and radiation for breast cancer.  Are there research results of recent research?  The possible side effects are worrying - I make decisions for my 47 year old daughter with Down Syndrome-trying to do what is best.  She has taken Anastrozole for a year now.	What is the the latest research on Arimidex, and the benefits and side effects of the drug?
SUBJECT: ClinicalTrials.gov - Question - specific study. MESSAGE: I have had epilepsy for 26 years and my seizures have never been under control. I started the Modified Atkins Diet a couple of weeks ago, but I am having serious issues and hope you might have an answer. My seizures have tripled in these 2 weeks than what have been in years. Does this diet take a lot of time for this not to happen? or Does this diet not work for everyone? Please help me.	What is the success rate of the modified Atkins diet for epilepsy?
MESSAGE: Afternoon my name is [NAME] i just need a clarity on ACL repair. [DATE] i done ACL repair as the doctors told me after my discharge i attend physiotherapy but after the physio my leg get swallow so i stopped as there was no progress. now my knee is stiff and swallow also it change colour and doctors tells me they don't see anything. so i need an advise what can i do or where can i go and get help.  regards   [NAME]	What is the recovery process after ACL surgery?
SUBJECT: Thoracic outlet syndrome. MESSAGE: I was diagnose with TOS in my left shoulder was told surgery would help my problem. physical therapy did not help tired of the numbness in pain in hand just wondering if the stats our good percentage wise for surgery results Dr.[NAME] is my surgeon	What are the success rate and prognosis for thoracic outlet syndrome surgery?
MESSAGE: HI, THIS IS [NAME]. SUPPOSE WE REMOVED THE EYE DUCT DUE TO TEAR TUBE DAMAGE, IS IT ANY PROBLEM WILL COME??	What are the prognosis and complications of tear duct surgery?
polymicrogyria. My 16 month old son has this. Does not sit up our crawl yet but still trying and is improving in grabbing things etc etc. Have read about other cases that seem 10000 time worse. It's it possible for this post of his brain to grown to normal and he grow out of it?	What is the prognosis for polymicrogyria?
MESSAGE: Sometime during March I overdosed on Benadryl. I got all the symptoms but survived without medical treatment. I am just curious as to if any damage happened.  Like Neurological.	What is the prognosis for benadryl toxicity?
SUBJECT: Small intestine completely removed. MESSAGE: One of my family members has a serious health issue in which his small bowel has been removed completely, due to gangarin. Could you please help and advise accordingly.	What are the prognosis and care instructions after small bowel resection?
SUBJECT: sodium intake. MESSAGE: My mother is 96 years old and generally in good health.  I keep her on a low sodium diet and wonder if I'm not allowing enough sodium in her diet.  What is the lowest amount she should have per day?  Thank you.	What is the minimum required sodium intake per day in elderly?
SUBJECT: PERIDONTITIS LEFT UNTREATED EFFECTS. MESSAGE: Hi, If periodontitis is left untreated for approx 7 months will it have any affect on the condition as I need to travel.  A dentist has told me I have mod-advanced periodontitis with gum pockets of 5-9mm and bone loss 20-50>% with restorations and caries.  I have all my teeth at this stage, some are loose.  If I leave it for this amount of time is it likely to worsen at all and what could I expect?  On the other hand if I seek treatment immediately will help in any way.  Hope to hear from you.  Thanks kindly [NAME]	What is the prognosis for untreated periodontitis?
I was at my endocrinologist today and he said I should look into testing or new reshearch for someone like myself.  I am type 1 diabetic and my doctor said my case is unique he suggested I contact you to see if you may have research that could help me	What is the latest research on type one diabetes testing and treatments?
SUBJECT: Vasectomy. MESSAGE: On the text that says it is very rare that the vas deferens can grow back and my partner pregnant ... So is it possible? ... Is that my partner got pregnant, I have vasectomy 16 years .. [CONTACT]     thanks	What is the late failure rate of vasectomy?
Customer Service Request..  My daughter has Turner syndrome but she's beaten all odds. She developed on our own, got her period on her own, she is now pregnant on her own with identical twins. My question is can she have normal children or do they have more of a chance of having Turner syndrome.  My daughter has been tested many times to confirm her diagnosis of Turner syndrome and she is a full XO not mosaic but still does not display many of the characteristics. Again, I am just questioning the safety of the pregnancy and the health of the babies. Thank you for your help	What is the inheritance pattern of Turner syndrome?
Question. do you know what genetic abnormality causes lipoamide Dehydrogenase Deficiency (E3)?	What is the genetic cause of Lipoamide Dehydrogenase Deficiency?
Multiple orgasm..  If I get a  vesectomy will I still be able to have multiple orgasms? I know it's not even usual to have them as a guy, which is why I'm wondering if I would still have them if my vasectomy happened?	What is the effect of vasectomy on orgasms?
SUBJECT: residual cancer. MESSAGE: How long do radiation treatments actively treat the area where it was delivered?. Would cancer found approximately 3 months after radiation(which followed chemo, which followed surgery, and pt is on aromatase inhibitor since chemo) be considered residual or reoccurrence by most oncologists?	What is the difference between residual and recurrent maligancy?
ClinicalTrials.gov - Question - general information. my name is [NAME] from [LOCATION],my 10year old boy has duchenne muscular dystrophy  patient. my question is what is exon skipping & it can help for dmd  patient ?	What is exon skipping, and is it an effective treatment for  duchenne muscular dystrophy?
BCG and Stage 3 Urinary Bladder Cancer..  My dad begins this BCG Treatment in a few weeks for Stage 3 cancer tumors in the urinary bladder?  How effective is BCG for this issue?  Thank you very much.    Is BCG similiar to Chemotherapy?	What is BCG treatment, and is it an effective treatment for bladder cancer?
G6PD. I have been searching for detailed information of what someone with G6PD can and cannot eat or have in contact, but am getting conflicting information. Any help?	What foods should be avoided with G6PD deficiency?
SUBJECT: meaning of label directions. MESSAGE: asked if med label says "take with food", how much food is required and found no asnwer.  not supposed to eat at nite when med is. to be taken.     no answer.	What does "take with food" mean on medication labels?
SUBJECT: insulin-dependent diabetes in children. MESSAGE: Hi, What are the causes of insulin-dependent diabetes in children? I am searching for information on the causes of insulin-dependent diabetes in children. Please help.	What causes type 1 diabetes in children?
Tailbone trauma - aftercare.  I read the article, but what if the person hasn't falling or been bumped?  What could cause this?	What causes tailbone injury?
SUBJECT: X-linked congenital stationary night blindness. MESSAGE: i m suffering from similar or same decease.my mothers father suffered from same & my brother also.we have problem in low light infact cant view in damp conditions during day also have myopia but still not normal myopia cant see little object with clarity.life is looking like imprisonment.is there any chance for our recovery from this x linked decease.will we be able to see like normal ones.plz help. my age 38 y brother 44.address [LOCATION]	What are the treatments for X-linked congenital stationary night blindness?
We appreciate your response.. My son is 24 years old. We cannot find any drugs, treatments as well as. hospitals to fight against Wilson's disease in [LOCATION].. Currently there is [PHI] person with Wilson's disease in [LOCATION] who is my. son. We cannot find anything good to help my son at the moment.. Therefore, we need somewhere where my son can get help. We are also lack of. financial condition to support full treatment for my son. However,. we wish to have good medication with less expense if possible. We want to. get diagnosed my son's other infected organs and want to know how we can. help to get them recovered well.. Regards. [NAME].	What are the treatments for Wilson's disease, and how can I find physician(s) or hospital(s) who specialize in it?
Spinal Cord..  My Brother is 58 years old have spinal cord problem his both legs he cannot move them wheelchair user his legs are very heavy as he had urinaire infection after the other now the test comes positive and the infection still going cannot clear so his Doctor cannot give him any treatment for his main problem (Spinal cord) I want to help him what he should do I want to get advice please baging you for help and advice, many thank you	What are the treatments for urinary tract infection?
pls guide us..  Dear sir/Madam pls guide us recently we found one of woman staying with us ,she coughing and blood coming from mouth so she went to doctor on 2012 they did blood test and sputm test ct scan also they didnt find anything ,recently she went to indonesia [LOCATION] ,they found repot was PROGRESSIVE DISEASE,ACTIVE LUNG TBINTHE RIGHT B2 AND B4 SEGMENS,THE EXUDATIVE LESIONS IS INCREASING WITH SMALL CAVITY .so what we have to do for her is this contages ,who is the pople staying with her need to do test ?pls guide me thank u my contact [CONTACT]	What are the treatments for tuberculosis, and is it contagious?
SUBJECT: sudden pain in heart. MESSAGE: I need to know for what its happening ? because i am very scared what may happen	What causes sudden chest pain and what are the treatments? 
SUBJECT: tongue problem. MESSAGE: I can speak every thing I have mistake some word like r,n I can n't speak.this is my problem .every person tell me..please give me suggestion..	What are the treatments for speech disorders?
SUBJECT: ClinicalTrials.gov - General Complaint. MESSAGE: I HAVE CRONIC PAIN FROM SEVERE SHINGLES.THE BLISTERS ARE GONE BUT THE PAIN IS SEVERE.WHAT SHOULD I DO. I CAN' KEEP THIS PAIN	What are the treatments for shingles pain?
I had a molar removed painful and not healing. swab test in tooth extraction hole revealed I have serratia marcescens. Oral surgeon ordered levaquin. Scared went to a new oral surgeon, he said since I have been on antibiotics for more than four months do not take new antibiotic. I am scared!!! Dont really have any serious symptoms. bad taste in mouth funny colored tongue. follow up with new dr this monday.Please help.	What are the treatments for serratia marcescens infection?
SUBJECT: Seborrheic Keratosis. MESSAGE: I am an African American women who have been diagnose with seborrheic keratosis on my face.  Do you have a web site that I can obtain the products so that I can clear up my face.  Please advise.  Thank You	What are the treatments for seborrheic keratosis, and where can I buy them?
sounding in my ear every time for along time..  my ear has been sounding for along time it started 20years ago at first time it started during swimming I go to doctors in [LOCATION], [LOCATION] and [LOCATION] but it's not become correct. I wish you to give me good advice please.	What are the treatments for ringing in the ear?
SUBJECT: still very sore under my middle rib cage and little swollen. MESSAGE: any suggestions for this discomfort ? sore and swollen from auto accident was wearing seat belt.	What are the treatments for rib pain and swelling after car accident?
